param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_86_pop_1,0.000009,0.000000,0.000000,0.000098
q_ind_87_pop_1,0.000011,0.000000,0.000000,0.000108
q_ind_88_pop_1,0.000008,0.000000,0.000000,0.000091
q_ind_0_pop_2,0.000013,0.000000,0.000000,0.000146
q_ind_1_pop_2,0.000055,0.000000,0.000000,0.000658
q_ind_2_pop_2,0.000034,0.000000,0.000000,0.000378
q_ind_3_pop_2,0.000009,0.000000,0.000000,0.000100
q_ind_4_pop_2,0.000009,0.000000,0.000000,0.000095
q_ind_5_pop_2,0.000011,0.000000,0.000000,0.000114
q_ind_6_pop_2,0.000012,0.000000,0.000000,0.000123
q_ind_7_pop_2,0.000015,0.000000,0.000000,0.000175
q_ind_8_pop_2,0.000012,0.000000,0.000000,0.000131
q_ind_9_pop_2,0.000013,0.000000,0.000000,0.000163
q_ind_10_pop_2,0.000008,0.000000,0.000000,0.000095
q_ind_11_pop_2,0.017246,0.017198,0.010037,0.024762
q_ind_12_pop_2,0.000021,0.000000,0.000000,0.000241
q_ind_13_pop_2,0.000020,0.000000,0.000000,0.000228
q_ind_14_pop_2,0.000023,0.000000,0.000000,0.000273
q_ind_15_pop_2,0.000193,0.000000,0.000000,0.002516
q_ind_16_pop_2,0.000147,0.000000,0.000000,0.002133
q_ind_17_pop_2,0.025128,0.025115,0.015858,0.034522
q_ind_18_pop_2,0.011606,0.011541,0.004307,0.019090
q_ind_19_pop_2,0.000383,0.000000,0.000000,0.004825
q_ind_20_pop_2,0.015279,0.015154,0.007718,0.023534
q_ind_21_pop_2,0.000807,0.000000,0.000000,0.007800
q_ind_22_pop_2,0.027698,0.027644,0.016440,0.039046
q_ind_23_pop_2,0.008574,0.009091,0.000000,0.017071
q_ind_24_pop_2,0.000021,0.000000,0.000000,0.000240
q_ind_25_pop_2,0.000029,0.000000,0.000000,0.000288
q_ind_26_pop_2,0.000029,0.000000,0.000000,0.000343
q_ind_27_pop_2,0.000044,0.000000,0.000000,0.000521
q_ind_28_pop_2,0.000056,0.000000,0.000000,0.000664
q_ind_29_pop_2,0.000035,0.000000,0.000000,0.000411
q_ind_30_pop_2,0.000024,0.000000,0.000000,0.000235
q_ind_31_pop_2,0.000023,0.000000,0.000000,0.000272
q_ind_32_pop_2,0.000015,0.000000,0.000000,0.000167
q_ind_33_pop_2,0.000008,0.000000,0.000000,0.000088
q_ind_34_pop_2,0.000017,0.000000,0.000000,0.000192
q_ind_35_pop_2,0.000067,0.000000,0.000000,0.000815
q_ind_36_pop_2,0.000010,0.000000,0.000000,0.000099
q_ind_37_pop_2,0.000017,0.000000,0.000000,0.000176
q_ind_38_pop_2,0.000013,0.000000,0.000000,0.000141
q_ind_39_pop_2,0.000015,0.000000,0.000000,0.000165
q_ind_40_pop_2,0.013061,0.012975,0.005660,0.020788
q_ind_41_pop_2,0.000039,0.000000,0.000000,0.000440
q_ind_42_pop_2,0.000014,0.000000,0.000000,0.000158
q_ind_43_pop_2,0.000023,0.000000,0.000000,0.000235
q_ind_44_pop_2,0.000016,0.000000,0.000000,0.000173
q_ind_45_pop_2,0.011448,0.011789,0.000000,0.020858
q_ind_46_pop_2,0.979470,0.979608,0.970645,0.987602
q_ind_47_pop_2,0.964604,0.964619,0.954424,0.974617
q_ind_48_pop_2,0.971281,0.971381,0.961151,0.980455
q_ind_49_pop_2,0.910203,0.910186,0.897442,0.922869
q_ind_50_pop_2,0.730414,0.730503,0.713813,0.746616
q_ind_51_pop_2,0.879786,0.880035,0.864976,0.893673
q_ind_52_pop_2,0.959251,0.959308,0.947896,0.970172
q_ind_53_pop_2,0.973683,0.973769,0.963230,0.983331
q_ind_54_pop_2,0.000013,0.000000,0.000000,0.000126
