param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_75_pop_3,695.13,1.002
q_ind_76_pop_3,54.37,1.018
q_ind_77_pop_3,116.41,1.009
q_ind_78_pop_3,240.68,1.003
q_ind_79_pop_3,272.88,1.001
q_ind_80_pop_3,2933.11,1.002
q_ind_81_pop_3,3193.43,1.001
q_ind_82_pop_3,3683.39,1.000
q_ind_83_pop_3,4001.14,1.000
q_ind_84_pop_3,3819.07,1.001
q_ind_85_pop_3,3802.46,1.002
q_ind_86_pop_3,2896.86,1.000
q_ind_87_pop_3,3766.67,1.000
q_ind_88_pop_3,3337.77,1.001
q_ind_0_pop_4,2070.35,1.001
q_ind_1_pop_4,2071.24,1.000
q_ind_2_pop_4,1776.76,1.001
q_ind_3_pop_4,2765.34,1.000
q_ind_4_pop_4,2794.80,1.000
q_ind_5_pop_4,2568.12,1.001
q_ind_6_pop_4,3627.03,1.001
q_ind_7_pop_4,2314.68,1.000
q_ind_8_pop_4,2640.77,1.000
q_ind_9_pop_4,2256.10,1.000
q_ind_10_pop_4,3478.46,1.000
q_ind_11_pop_4,2057.56,1.000
q_ind_12_pop_4,3087.33,1.000
q_ind_13_pop_4,2828.20,1.001
q_ind_14_pop_4,1930.48,1.001
q_ind_15_pop_4,322.93,1.004
q_ind_16_pop_4,295.74,1.003
q_ind_17_pop_4,134.65,1.001
q_ind_18_pop_4,723.60,1.001
q_ind_19_pop_4,162.55,1.010
q_ind_20_pop_4,780.75,1.001
q_ind_21_pop_4,330.29,1.004
q_ind_22_pop_4,764.87,1.000
q_ind_23_pop_4,350.23,1.009
q_ind_24_pop_4,2876.01,1.002
q_ind_25_pop_4,1636.54,1.002
q_ind_26_pop_4,1945.19,1.000
q_ind_27_pop_4,1372.30,1.000
q_ind_28_pop_4,777.28,1.001
q_ind_29_pop_4,2460.80,1.001
q_ind_30_pop_4,1857.43,1.000
q_ind_31_pop_4,1428.08,1.000
q_ind_32_pop_4,2418.51,1.000
q_ind_33_pop_4,2560.21,1.000
q_ind_34_pop_4,1616.09,1.000
q_ind_35_pop_4,2152.35,1.001
q_ind_36_pop_4,2856.06,1.000
q_ind_37_pop_4,2100.13,1.001
q_ind_38_pop_4,2249.21,1.001
q_ind_39_pop_4,1916.55,1.001
q_ind_40_pop_4,2418.65,1.001
q_ind_41_pop_4,2632.95,1.000
q_ind_42_pop_4,2817.12,1.000
q_ind_43_pop_4,1862.18,1.000
q_ind_44_pop_4,2224.24,1.001
q_ind_45_pop_4,59.75,1.036
q_ind_46_pop_4,1200.74,1.001
q_ind_47_pop_4,1425.32,1.000
q_ind_48_pop_4,1123.88,1.000
q_ind_49_pop_4,2206.28,1.000
q_ind_50_pop_4,2808.80,1.000
q_ind_51_pop_4,1517.41,1.001
q_ind_52_pop_4,1178.55,1.001
q_ind_53_pop_4,1024.60,1.002
q_ind_54_pop_4,3044.36,1.000
q_ind_55_pop_4,3991.18,1.000
q_ind_56_pop_4,2924.17,1.000
q_ind_57_pop_4,2543.29,1.001
q_ind_58_pop_4,2947.23,1.001
q_ind_59_pop_4,1788.02,1.002
q_ind_60_pop_4,4020.85,1.000
q_ind_61_pop_4,3734.49,1.001
q_ind_62_pop_4,3539.23,1.000
q_ind_63_pop_4,2701.94,1.001
q_ind_64_pop_4,3407.73,1.000
q_ind_65_pop_4,2664.77,1.000
q_ind_66_pop_4,2533.87,1.000
q_ind_67_pop_4,3696.43,1.001
q_ind_68_pop_4,3357.81,1.000
q_ind_69_pop_4,2946.36,1.001
q_ind_70_pop_4,3719.43,1.001
q_ind_71_pop_4,3380.05,1.001
q_ind_72_pop_4,3477.18,1.000
q_ind_73_pop_4,2490.20,1.001
q_ind_74_pop_4,3338.84,1.000
q_ind_75_pop_4,4522.15,1.000
q_ind_76_pop_4,3425.32,1.000
q_ind_77_pop_4,3599.05,1.000
q_ind_78_pop_4,3865.20,1.000
q_ind_79_pop_4,511.43,1.011
q_ind_80_pop_4,2300.95,1.002
q_ind_81_pop_4,2839.93,1.001
q_ind_82_pop_4,1939.10,1.001
q_ind_83_pop_4,2804.29,1.001
q_ind_84_pop_4,1212.36,1.001
q_ind_85_pop_4,2330.53,1.001
q_ind_86_pop_4,1952.87,1.005
q_ind_87_pop_4,1850.39,1.001
q_ind_88_pop_4,2969.96,1.001
q_ind_0_pop_5,2052.87,1.000
q_ind_1_pop_5,490.94,1.001
q_ind_2_pop_5,1736.01,1.002
q_ind_3_pop_5,1879.74,1.000
q_ind_4_pop_5,1597.96,1.002
q_ind_5_pop_5,1934.66,1.001
q_ind_6_pop_5,1755.86,1.000
q_ind_7_pop_5,1978.21,1.002
q_ind_8_pop_5,3225.20,1.001
q_ind_9_pop_5,2133.69,1.000
q_ind_10_pop_5,1798.87,1.000
q_ind_11_pop_5,574.35,1.000
q_ind_12_pop_5,1342.88,1.001
q_ind_13_pop_5,766.55,1.003
q_ind_14_pop_5,1208.30,1.002
q_ind_15_pop_5,2003.70,1.000
q_ind_16_pop_5,2143.50,1.000
q_ind_17_pop_5,35.30,1.006
